,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
0,66.0,58.0,58.0,58.0,65.0,54.0,39.0,39.0,9.0,45.0,37.0,65.0
1,65.0,63.0,54.0,49.0,62.0,57.0,55.0,44.0,13.0,51.0,40.0,46.0
2,68.0,56.0,70.0,63.0,118.0,54.0,40.0,46.0,11.0,36.0,40.0,20.0
3,51.0,46.0,64.0,51.0,105.0,51.0,41.0,62.0,18.0,29.0,39.0,36.0
4,59.0,55.0,94.0,55.0,112.0,58.0,54.0,41.0,30.0,45.0,45.0,28.0
5,67.0,53.0,64.0,53.0,94.0,61.0,48.0,43.0,37.0,44.0,36.0,33.0
6,57.0,60.0,61.0,64.0,71.0,59.0,54.0,40.0,29.0,54.0,38.0,58.0
7,56.0,62.0,60.0,58.0,115.0,48.0,33.0,35.0,21.0,57.0,47.0,27.0
8,76.0,50.0,60.0,62.0,104.0,58.0,46.0,48.0,24.0,35.0,36.0,36.0
9,57.0,47.0,58.0,55.0,109.0,46.0,34.0,39.0,13.0,34.0,37.0,25.0
10,56.0,61.0,69.0,54.0,62.0,56.0,52.0,37.0,22.0,53.0,39.0,24.0
11,57.0,63.0,64.0,64.0,115.0,54.0,54.0,60.0,18.0,50.0,55.0,45.0
12,67.0,56.0,62.0,57.0,101.0,53.0,59.0,32.0,24.0,38.0,37.0,34.0
13,73.0,64.0,66.0,62.0,109.0,55.0,59.0,28.0,53.0,29.0,32.0,42.0
14,74.0,57.0,61.0,47.0,102.0,53.0,116.0,34.0,45.0,50.0,33.0,29.0
15,75.0,55.0,62.0,58.0,114.0,49.0,39.0,30.0,34.0,54.0,40.0,27.0
16,51.0,57.0,62.0,63.0,54.0,53.0,51.0,32.0,42.0,62.0,43.0,33.0
17,55.0,56.0,79.0,52.0,98.0,58.0,51.0,39.0,50.0,48.0,40.0,28.0
18,56.0,52.0,63.0,50.0,112.0,64.0,49.0,48.0,37.0,44.0,42.0,35.0
19,55.0,53.0,63.0,58.0,111.0,56.0,49.0,31.0,,38.0,36.0,26.0
20,62.0,66.0,56.0,63.0,109.0,59.0,39.0,46.0,,51.0,43.0,23.0
21,55.0,55.0,65.0,57.0,113.0,61.0,41.0,48.0,,37.0,32.0,20.0
22,57.0,70.0,50.0,56.0,120.0,61.0,45.0,45.0,,41.0,43.0,24.0
23,60.0,52.0,63.0,50.0,107.0,56.0,38.0,45.0,,78.0,44.0,29.0
24,74.0,55.0,64.0,52.0,108.0,,57.0,33.0,,44.0,39.0,33.0
25,63.0,54.0,65.0,78.0,62.0,,29.0,24.0,,50.0,50.0,30.0
26,64.0,60.0,75.0,57.0,101.0,,35.0,49.0,,45.0,43.0,
27,64.0,66.0,68.0,62.0,62.0,,48.0,52.0,,42.0,37.0,
28,53.0,58.0,76.0,55.0,102.0,,51.0,34.0,,51.0,42.0,
29,65.0,54.0,65.0,55.0,113.0,,38.0,38.0,,51.0,35.0,
30,57.0,64.0,90.0,54.0,121.0,,52.0,51.0,,36.0,40.0,
31,67.0,51.0,,54.0,109.0,,57.0,40.0,,44.0,48.0,
32,56.0,54.0,,74.0,101.0,,45.0,50.0,,55.0,48.0,
33,50.0,51.0,,66.0,104.0,,54.0,33.0,,47.0,36.0,
34,63.0,55.0,,53.0,105.0,,45.0,33.0,,39.0,47.0,
35,61.0,56.0,,57.0,117.0,,62.0,31.0,,40.0,51.0,
36,67.0,59.0,,53.0,72.0,,59.0,41.0,,48.0,41.0,
37,65.0,65.0,,73.0,109.0,,39.0,61.0,,33.0,44.0,
38,72.0,55.0,,74.0,112.0,,55.0,50.0,,55.0,34.0,
39,61.0,59.0,,65.0,62.0,,44.0,53.0,,41.0,41.0,
40,56.0,50.0,,69.0,113.0,,52.0,40.0,,35.0,36.0,
41,60.0,50.0,,57.0,113.0,,36.0,44.0,,44.0,41.0,
42,72.0,54.0,,54.0,116.0,,47.0,42.0,,46.0,49.0,
43,58.0,59.0,,56.0,103.0,,54.0,49.0,,41.0,39.0,
