LEAD,A,A1,B,B1,B2,C,C1,C2,C3,C4,D,D1,E,E1,E2,E3,F,F1,F2,F3
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1,0,0,0,3.5,3.5,0,0,0,0,4.5,0,4.5,0,6,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,3,0,3,3,0,0,3.5,3.5,3.5,0,4,0,4.5,5,0,0,0,6,0
B2,0,3,0,3,3,0,0,3,3.5,3.5,0,3.5,0,4.5,5,5,0,0,6.5,7
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
C2,0,3,0,3,3,0,0,3,3,3,0,3,0,3.5,3.5,4,0,0,0,0
C3,0,0,0,3,3,0,0,3,0,0,0,3,0,3.5,4,0,0,0,0,0
C4,0,3,0,3,3,0,0,3,0,3,0,3,0,3,3,0,0,0,0,6
D,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
D1,0,3,0,3,3,0,3,3,3,3,3,3,0,3,3,3,0,3,3,3
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1,0,3,0,3,3,0,0,3,3,3,0,3,0,3,3,0,0,0,0,0
E2,0,3,0,3,3,0,0,3,3,3,0,3,0,3,3,0,0,0,0,4
E3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
F2,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
F3,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
