,FP_Date,Callsign,Carrier,Aircraft_Type,Landing_Runway,GSPD_0_1DME,GSPD_1_2DME,GSPD_2_3DME,GSPD_3_4DME,GSPD_4_5DME,GSPD_5_6DME,GSPD_6_7DME,GSPD_7_8DME,GSPD_8_9DME,GSPD_9_10DME,IAS_0_1DME,IAS_1_2DME,IAS_2_3DME,IAS_3_4DME,IAS_4_5DME,IAS_5_6DME,IAS_6_7DME,IAS_7_8DME,IAS_8_9DME,IAS_9_10DME
0,03/12/2017,EZY96XZ,EZY,A20N,R26L,124.41,122.925,127.6943,148.412,161.15,165.726,169.0425,178.4475,166.2287917,169.477,131.5,131.0833,133.0714,151,161.125,165,167.75,176.5,174.18125,175.502075
1,28/11/2017,EZY59YM,EZY,A20N,R26L,122.1,120.2614,115.5,130.6957,150.854,155.4575,155.408,159.368,165.88,171.468,129.625,129.7143,127.6667,142.3571,161.7,164.125,162.7,167.7,173.375,179.8
2,02/12/2017,EZY72HP,EZY,A20N,R26L,128.26,123.42,124.96,140.635,153.23,156.596,168.465,176.22,166.2287917,169.477,133.75,130.6666,132.75,146.4167,158.8,162,172.875,181,174.18125,175.502075
3,03/12/2017,EZY54EV,EZY,A20N,R26L,122.1,121.6757,122.1183,139.8283,155.804,156.9425,160.754,162.8825,164.12,166.1,128,128.0714,128.0833,141.5833,156.8,158.75,161.3,161.875,164.2,164.8333
4,03/12/2017,EZY72HP,EZY,A20N,R26L,127.435,124.575,126.5314,139.568,160.182,169.0425,172.26,176.22,179.9325,182.16,132.875,132.3333,132.2857,140.9,161.4,167.75,168.8,171.375,174,177.125
5,28/11/2017,EZY76DA,EZY,A20N,R26L,124.3275,125.565,123.42,135.0067,155.012,164.12,169.884,173.4975,166.2287917,169.477,131.125,133.3333,132.25,142.1667,163,170.375,175.2,181.25,174.18125,175.502075
6,30/11/2017,EZY46PC,EZY,A20N,R26L,129.184,130.24,129.1583,142.67,161.744,166.1,166.1,166.925,172.26,169.477,138.9,139.5,139.3333,150.25,167.9,171.25,173.625,172.25,174,175.502075
7,03/12/2017,EZY76DA,EZY,A20N,R26L,131.23,130.24,128.9514,133.386,153.56,174.416,182.655,185.9733,184.14,169.477,137.3333,136.3,133.6429,135.9,154.6,174.7,179.25,182.6667,183,175.502075
8,01/12/2017,EZY81DP,EZY,A20N,R08R,125.752,124.2214,124.08,129.1583,141.13,146.8317,160.16,163.922,166.2287917,169.477,131.7,133.7143,134.9167,142.5,159,164.0833,178,180.9,174.18125,175.502075
9,30/11/2017,EZY96XZ,EZY,A20N,R26L,126.335,124.7583,122.5243,137.335,159.17,173.4975,175.428,168.795,166.2287917,169.477,136.875,136.4167,134.2143,146.3333,167.5,181.125,183.4,176.5,174.18125,175.502075
