ICAO,WTC,RECAT-EU,RECAT20
3,L,F,F3
4T,L,F,F3
A002,L,F,F3
A1,M,F,F2
A10,M,E,E
A109,L,F,F3
A119,L,F,F3
A122,L,F,F3
A124,H,A,A
A129,L,F,F3
A139,L,F,F3
A140,M,E,E2
A148,M,E,E1
A16,L,F,F3
A19,L,F,F3
A20,M,F,F2
A205,L,F,F3
A21,L,F,F3
A210,L,F,F3
A211,L,F,F3
A22,L,F,F3
A223,L,F,F3
A23,L,F,F3
A25,L,F,F3
A27,L,F,F3
A270,L,F,F3
A29,L,F,F3
A2RT,L,F,F3
A3,M,E,E
A306,H,C,C3
A30B,H,C,C3
A31,L,F,F3
A310,H,C,C3
A318,M,D,D1
A319,M,D,D1
A320,M,D,D1
A321,M,D,D1
A33,L,F,F3
A332,H,B,B2
A333,H,B,B2
A342,H,B,B2
A343,H,B,B2
A345,H,B,B1
A346,H,B,B1
A35,L,F,F3
A359,H,B,B1
A37,L,F,F3
A388,S,A,A1
A3ST,H,C,C3
A4,M,F,F
A400,H,C,C
A50,H,C,C2
A500,L,F,F3
A504,L,F,F3
A6,M,E,E
A660,L,F,F3
A7,M,E,E
A700,L,F,F3
A743,M,E,E1
A748,M,E,E2
A890,L,F,F3
A9,L,F,F3
A900,L,F,F3
A910,L,F,F3
AA1,L,F,F3
AA37,L,F,F3
AA5,L,F,F3
AAT3,L,F,F3
AAT4,L,F,F3
AB11,L,F,F3
AB15,L,F,F3
AB18,L,F,F3
AB95,L,F,F3
AC11,L,F,F3
AC4,L,F,F3
AC50,L,F,F3
AC52,L,F,F3
AC56,L,F,F3
AC5A,L,F,F3
AC5M,L,F,F3
AC68,L,F,F3
AC6L,L,F,F3
AC72,L,F,F3
AC80,L,F,F3
AC90,L,F,F3
AC95,L,F,F3
ACAM,L,F,F3
ACAR,L,F,F3
ACED,L,F,F3
ACJR,L,F,F3
ACPL,L,F,F3
ACR2,L,F,F3
ACRD,L,F,F3
ACRO,L,F,F3
ACSR,L,F,F3
AD20,L,F,F3
ADEL,L,F,F3
ADVE,L,F,F3
ADVN,L,F,F3
AE45,L,F,F3
AEA1,L,F,F3
AEST,L,F,F3
AG02,L,F,F3
AGSH,L,F,F3
AI10,L,F,F3
AIGT,L,F,F3
AIRD,L,F,F3
AIRL,L,F,F3
AJ27,M,E,E1
AJET,M,F,F3
AK1,L,F,F3
AKOY,L,F,F3
AKRO,L,F,F3
ALBU,L,F,F3
ALC1,L,F,F3
ALGR,L,F,F3
ALH,L,F,F3
ALIG,L,F,F3
ALIZ,M,F,F2
ALO2,L,F,F3
ALO3,L,F,F3
ALPI,L,F,F3
ALTO,L,F,F3
AM3,L,F,F3
AMX,M,F,F
AN12,M,D,D1
AN2,L,F,F3
AN22,H,B,B1
AN24,M,E,E2
AN26,M,E,E2
AN28,L,F,F3
AN3,L,F,F3
AN30,M,E,E2
AN32,M,E,E2
AN38,M,F,F2
AN70,M,C,C
AN72,M,E,E2
AN8,M,D,D
ANGL,L,F,F3
ANSN,L,F,F3
ANST,L,F,F3
AP20,L,F,F3
AP22,L,F,F3
AP24,L,F,F3
AP26,L,F,F3
AP28,L,F,F3
AP36,L,F,F3
APM2,L,F,F3
APM3,L,F,F3
APUP,L,F,F3
AR11,L,F,F3
AR15,L,F,F3
AR79,L,F,F3
ARES,L,F,F3
ARKS,L,F,F3
ARON,L,F,F3
ARV1,L,F,F3
ARVA,L,F,F3
ARWF,L,F,F3
AS02,L,F,F3
AS14,L,F,F3
AS16,L,F,F3
AS20,L,F,F3
AS21,L,F,F3
AS22,L,F,F3
AS24,L,F,F3
AS25,L,F,F3
AS26,L,F,F3
AS28,L,F,F3
AS29,L,F,F3
AS2T,L,F,F3
AS30,L,F,F3
AS31,L,F,F3
AS50,L,F,F3
AS55,L,F,F3
AS65,L,F,F3
AS80,L,F,F3
ASO4,L,F,F3
ASTR,M,F,F2
AT3,M,F,F
AT3P,L,F,F3
AT3T,L,F,F3
AT43,M,E,E2
AT44,M,E,E2
AT45,M,E,E2
AT5P,L,F,F3
AT5T,L,F,F3
AT6T,L,F,F3
AT72,M,E,E2
AT8T,M,F,F2
ATAC,L,F,F3
ATG1,L,F,F3
ATIS,L,F,F3
ATL,L,F,F3
ATLA,M,D,D
ATP,M,E,E2
ATTL,L,F,F3
AU11,L,F,F3
AUJ2,L,F,F3
AUJ4,L,F,F3
AUS3,L,F,F3
AUS4,L,F,F3
AUS5,L,F,F3
AUS6,L,F,F3
AUS7,L,F,F3
AUS9,L,F,F3
AV68,L,F,F3
AVAM,L,F,F3
AVID,L,F,F3
AVIN,L,F,F3
AVK4,L,F,F3
AVLN,L,F,F3
AVTR,L,F,F3
B06,L,F,F3
B06T,L,F,F3
B1,H,C,C
B103,L,F,F3
B105,L,F,F3
B13,L,F,F3
B14A,L,F,F3
B14B,L,F,F3
B14C,L,F,F3
B17,M,E,E
B18T,L,F,F3
B190,M,F,F2
B209,L,F,F3
B212,L,F,F3
B214,M,F,F3
B222,L,F,F3
B23,M,F,F2
B230,L,F,F3
B24,M,D,D
B25,M,E,E3
B26,M,E,E3
B26M,M,E,E3
B29,M,D,D
B305,L,F,F3
B350,L,F,F3
B360,L,F,F3
B36T,L,F,F3
B407,L,F,F3
B412,L,F,F3
B427,L,F,F3
B429,L,F,F3
B430,L,F,F3
B461,M,E,E1
B462,M,E,E1
B463,M,E,E1
B47G,L,F,F3
B47J,L,F,F3
B47T,L,F,F3
B60,L,F,F3
B609,M,F,F3
B60T,L,F,D1
B701,M,D,C
B703,H,C,E1
B712,M,E,C
B720,M,C,D1
B721,M,D,D1
B722,M,D,E1
B731,M,E,E1
B732,M,E,E1
B733,M,E,E1
B734,M,E,E1
B735,M,E,D1
B736,M,D,D1
B737,M,D,D1
B738,M,D,D1
B739,M,D,B1
B741,H,B,B1
B742,H,B,B1
B743,H,B,B1
B744,H,B,B1
B748,H,B,B1
B74D,H,B,B1
B74R,H,B,B1
B74S,H,B,C4
B752,M,C,C4
B753,M,C,C2
B762,H,C,C2
B763,H,C,C2
B764,H,C,B2
B772,H,B,B2
B773,H,B,B1
B77L,H,B,B1
B77W,H,B,B2
B783,H,C,B2
B788,H,B,B2
B789,H,B,E1
BA11,M,E,F3
BABY,L,F,F3
BAR6,L,F,F3
BARC,L,F,F3
BASS,L,F,F3
BBAT,L,F,F3
BBIR,L,F,F3
BCA3,L,F,F3
BCAT,L,F,F3
BD10,L,F,F3
BD12,L,F,F3
BD17,L,F,F3
BD4,L,F,F3
BD5,L,F,F3
BD5J,L,F,F3
BD5T,L,F,F3
BDOG,L,F,F3
BE10,L,F,E
BE12,M,E,F3
BE17,L,F,F3
BE18,L,F,F3
BE19,L,F,F3
BE20,L,F,F3
BE23,L,F,F3
BE24,L,F,F3
BE30,L,F,F3
BE32,M,F,F3
BE33,L,F,F3
BE35,L,F,F3
BE36,L,F,F2
BE40,M,F,F2
BE45,M,F,F3
BE50,L,F,F3
BE55,L,F,F3
BE56,L,F,F3
BE58,L,F,F3
BE60,L,F,F3
BE65,L,F,F3
BE70,L,F,F3
BE76,L,F,F3
BE77,L,F,F3
BE80,L,F,F3
BE88,L,F,F3
BE95,L,F,F3
BE99,L,F,F3
BE9L,L,F,F3
BE9T,L,F,F3
BEAR,L,F,C
BELF,M,C,D
BER2,M,D,D
BER4,M,D,F3
BETA,L,F,F3
BEVR,L,F,F3
BF19,L,F,F3
BFIT,L,F,F3
BILO,L,F,F3
BIPL,L,F,F3
BIRD,L,F,F3
BISC,L,F,F3
BK17,L,F,F3
BKUT,L,F,F3
BL11,L,F,F3
BL17,L,F,F3
BL19,L,F,F3
BL8,L,F,F3
BLBU,L,F,B1
BLCF,H,B,F3
BLEN,L,F,F3
BLKS,L,F,F3
BM6,L,F,F3
BN2P,L,F,F3
BN2T,L,F,F3
BOLT,L,F,F3
BOOM,L,F,F3
BPAT,L,F,F3
BR14,L,F,F3
BR54,L,F,F3
BRAV,L,F,F3
BRB2,L,F,F3
BREZ,L,F,F3
BROU,L,F,F3
BRUM,L,F,F3
BS60,L,F,B1
BSCA,H,B,F3
BSTP,M,F,F3
BSTR,L,F,F3
BTUB,L,F,F3
BU20,L,F,F3
BU31,L,F,F3
BU33,L,F,E
BU81,L,F,F3
BUC,M,E,F3
BUCA,L,F,F3
BULT,L,F,F3
BX2,L,F,F3
C02T,L,F,F3
C04T,L,F,F3
C06T,L,F,F3
C07T,L,F,E1
C08T,L,F,F3
C1,M,E,F3
C101,L,F,D
C10T,L,F,F3
C119,M,D,D
C120,L,F,E
C123,M,D,D
C125,M,E,C
C130,M,D,F3
C135,H,C,C
C140,L,F,F3
C141,H,C,D
C14T,L,F,F3
C15,M,D,F3
C150,L,F,D
C152,L,F,F3
C160,M,D,C1
C162,L,F,F3
C17,H,C,F3
C170,L,F,F3
C172,L,F,F3
C175,L,F,F3
C177,L,F,F3
C180,L,F,F3
C182,L,F,F3
C185,L,F,F3
C188,L,F,F3
C190,L,F,E2
C195,L,F,F3
C2,M,E,F3
C205,L,F,F3
C206,L,F,F3
C207,L,F,F3
C208,L,F,F2
C210,L,F,F3
C212,M,F,F3
C21T,L,F,F3
C22J,L,F,F3
C25A,L,F,F2
C25B,L,F,F3
C25C,M,F,E2
C270,L,F,E2
C27J,M,E,F3
C295,M,E,D
C303,L,F,F3
C30J,M,D,F3
C310,L,F,F3
C320,L,F,F3
C335,L,F,F3
C336,L,F,F3
C337,L,F,F3
C340,L,F,F3
C365,L,F,F3
C402,L,F,F3
C404,L,F,F3
C411,L,F,F3
C414,L,F,F3
C42,L,F,F3
C421,L,F,F3
C425,L,F,D
C441,L,F,B
C46,M,D,F3
C5,H,B,F3
C500,L,F,F3
C501,L,F,F3
C510,L,F,F3
C525,L,F,F3
C526,L,F,F3
C550,L,F,F2
C551,L,F,F2
C560,M,F,F2
C56X,M,F,F1
C650,M,F,F3
C680,M,F,E3
C72R,L,F,F3
C750,M,E,F3
C77R,L,F,F3
C82,M,F,D
C82R,L,F,F3
C97,M,D,F3
CA12,L,F,F3
CA19,L,F,F3
CA1P,L,F,F3
CA1T,L,F,F3
CA25,L,F,F3
CA3,L,F,F3
CA4,L,F,F3
CA6,L,F,F3
CA61,L,F,F3
CA65,L,F,F3
CA7P,L,F,F3
CA7T,L,F,F3
CA8,L,F,F3
CA9,L,F,F3
CABN,L,F,F3
CAD2,L,F,F3
CAD4,L,F,F3
CAJ,L,F,F3
CAML,L,F,F3
CAMP,L,F,F3
CAN4,L,F,F3
CAPL,L,F,D
CAR,L,F,F3
CARV,M,D,E
CASS,L,F,F3
CAT,M,E,F3
CAT1,L,F,F3
CAT2,L,F,F3
CAW,L,F,F3
CB1,L,F,F3
CD2,L,F,F3
CDC6,L,F,F3
CDW1,L,F,F3
CE15,L,F,F3
CE22,L,F,F3
CE23,L,F,F3
CE25,L,F,F3
CE27,L,F,F3
CE43,L,F,F3
CEGL,L,F,F3
CELR,L,F,F3
CENT,L,F,F3
CFRE,L,F,F3
CG3,L,F,F3
CGAN,L,F,F3
CH1,L,F,F3
CH10,L,F,F3
CH15,L,F,F3
CH18,L,F,F3
CH20,L,F,F3
CH25,L,F,F3
CH2T,L,F,F3
CH30,L,F,F3
CH40,L,F,F3
CH50,L,F,F3
CH60,L,F,F3
CH62,L,F,F3
CH64,L,F,F3
CH65,L,F,F3
CH7,L,F,F3
CH70,L,F,F3
CH75,L,F,F3
CH7A,L,F,F3
CH7B,L,F,F3
CH80,L,F,F3
CHAN,L,F,F3
CHCS,L,F,F3
CHGO,L,F,F3
CHIC,L,F,F3
CHIF,L,F,F3
CHIN,L,F,F3
CHIP,L,F,F3
CHR1,L,F,F3
CHR4,L,F,F3
CHSY,L,F,F3
CICA,L,F,F3
CJ1,L,F,F
CJ6,L,F,E2
CKUO,M,F,E2
CL2P,M,E,E3
CL2T,M,E,F3
CL30,M,E,D
CL41,L,F,D
CL44,M,D,E3
